category,name,contact_email,phone,address,source,notes
school,Harrow International HK,,+852 2824 9099,38 Tsing Ying Road Tuen Mun,web,Boarding/day
school,Invictus School HK,+852 3852 7200,188 Tai Tam Road Chai Wan,web,Nursery-Year 13,
school,The ISF Academy,inquiry@isf.edu.hk,+852 2202 2000,1 Kwong Sin Wan Road Pok Fu Lam,web,IB
school,Li Po Chun UWC,office@lpcuwc.org.hk,+852 2640 0441,10 Lok Wo Sha Lane Sai Sha Road Sha Tin,web,UWC
school,HK Academy,,+852 2655 1111,33 Wai Man Road Sai Kung,web,
school,The Harbour School (THS),admissions@ths.edu.hk,+852 2816 5222,2/F Kennedy Town Centre 23 Belchers St,web,
school,Australian Int'l School (AISHK),,+852 2336 3812,125 Waterloo Road Kowloon Tong,web,
school,Kiangsu & Chekiang Int'l School,,+852 2570 4594,30 Ching Wah Street North Point,web,
edu,Aether Education,,Hong Kong,web,Elite tutoring + admissions (Ivy/Oxbridge),
edu,Aristle (Gifted),,Hong Kong,web,Gifted & talented education (GATE) - DIRECT fit for kidsmybook,
edu,CANA Elite,,Hong Kong,web,17 IB examiners,50 Oxbridge grads
edu,NTK Academic Group,,Hong Kong,web,Since 1996; IB/IGCSE/SAT prep,
edu,All Round Education,,Hong Kong,web,IB/IGCSE/A-level; 120+ tutors,
club,The Spin Club,membership@spinclubhk.com,+852 2628 0211,Hong Kong,web,Family membership $108k; junior athletes
club,Aberdeen Marina Club,,+852 2555 8321,8 Shum Wan Road Aberdeen,web,By invitation; Shangri-La managed
club,Hong Kong Football Club,,+852 2830 9500,3 Sports Road Happy Valley,web,Family brunch; sports
club,Hong Kong Jockey Club,,various,web,Full membership $850k; family facilities,
club,The American Club HK,,Hong Kong,web,Central + Tai Tam Country Club,
club,Clearwater Bay Golf & Country Club,,+852 2335 3700,139 Tai Au Mun Road Clearwater Bay,web,
club,The Country Club at Hong Lok Yuen,,+852 2657 8899,8 Town Centre Crescent Hong Lok Yuen,web,Family $47k
club,Ladies' Recreation Club (LRC),,Mid-Levels,web,Family-friendly; tennis/pool,
club,The China Club,,Central,web,By invitation; Sir David Tang,
club,Soho House,,Hong Kong,web,Creative members club,
club,Carlyle & Co.,,50/F Rosewood Hong Kong,web,Ultra-exclusive,
club,Foreign Correspondents' Club,,Central,web,Media/diplomat/professional,
club,Gold Coast Yacht & Country Club,,Hong Kong,web,,
club,Hong Kong Cricket Club,,Hong Kong,web,Sports for kids,
school,ESF (English Schools Foundation),info@esfcentre.edu.hk | kindergarten.admissions@esfcentre.edu.hk | primary.admissions@esfcentre.edu.hk | secondary.admissions@esfcentre.edu.hk,+852 2574 2351,"22 International Schools, HK",web: esf.edu.hk,"B2B: 22 intl schools, admissions referral/workshop"
school,German Swiss International School (GSIS),info@gsis.edu.hk,+852 2849 6216,Peak / Pok Fu Lam,web: gsis.edu.hk,B2B: top IB
school,American International School (AIS),admin@ais.edu.hk,+852 2336 3812,Kowloon Tong,web: ais.edu.hk,B2B
school,Australian International School HK (AISHK),info@aishk.edu.hk,+852 2304 6078,Kowloon Tong,web: aishk.edu.hk,B2B
school,Yew Chung International School (YCIS),admissions@ycef.com,+852 2338 7106,Kowloon Tong,web: ycis-hk.com,B2B
school,Chinese International School (CIS),cis-info@cis.edu.hk,+852 2510 7288,Braemar Hill,web: cis.edu.hk,B2B: top IB
school,Malvern College HK,info@malverncollege.org.hk,+852 3898 4688,Tai Po,web: malverncollege.org.hk,B2B
school,Hong Kong Academy (HKA),office@hkacademy.edu.hk,+852 2655 1111,Sai Kung,web: hkacademy.edu.hk,B2B: IB
school,American School HK (ASHK),admissions@ashk.edu.hk,+852 3919 4111,Tai Po,web: ashk.edu.hk,B2B: rolling admission
school,Shrewsbury International School HK,info@shrewsbury.edu.hk,+852 2480 1500,Tseung Kwan O,web: shrewsbury.edu.hk,B2B
school,Discovery Bay International School (DBIS),info@dbis.edu.hk,+852 2987 7331,Lantau,web: dbis.edu.hk,B2B
school,International Christian School (ICS),info@ics.edu.hk,+852 3156 1234,Sha Tin,web: ics.edu.hk,B2B
school,Nord Anglia International School HK (NAIS),info@nais.hk,+852 3951 8686,Kowloon Bay,web: nordangliaeducation.com,B2B: premium
school,Carmel School of HK,info@carmel.edu.hk,+852 3665 5388,Mid-Levels,web: carmel.edu.hk,B2B
school,Singapore International School HK,general@singapore.edu.hk,+852 2872 0266,Aberdeen,web,B2B
school,South Island School (SIS),sis@sis.edu.hk,+852 2555 9313,Aberdeen,web: sis.edu.hk,B2B: ESF
school,West Island School (WIS),admissions@wis.edu.hk,+852 2819 1962,Pok Fu Lam,web: wis.edu.hk,B2B: ESF
school,Kingston International School,enquiry@kingston.edu.hk,+852 2337 9031,Kowloon Tong,web: kingston.edu.hk,B2B
school,DSC International School,e.office@dsc.edu.hk,+852 3658 0400,Taikoo Shing,web: dsc.edu.hk,B2B
club,The Hong Kong Football Club,info@hkfc.com.hk,+852 2572 6161,Happy Valley,web: hkfc.com.hk,B2B: members kids
club,Chinese Club,info@chineseclub.hk,+852 2844 2888,Mid-Levels,web,B2B: elite members
edu,ITS Education Asia,info@itseducation.asia,+852 2116 3916,HK,web: itseducation.asia,B2B: tutoring
edu,HK Tutor Link,info@hktutorlink.hk,,HK,web: hktutorlink.hk,B2B: tutor network
